ap_id,rssi,room_id
TP-Link_27F9,-54,A501
fesb-mobile,-64,A501
eduroam,-65,A501
Novinari,-65,A501
Vijecnici,-65,A501
predavaonice,-65,A501
Konferencija,-65,A501
SDZ,-66,A501
IoT Lab,-73,A501
Priva,-51,A501
TP-Link_27F9,-53,A501
eduroam,-63,A501
fesb-mobile,-63,A501
Novinari,-64,A501
Vijecnici,-64,A501
predavaonice,-66,A501
IoT Lab,-67,A501
predavaonice,-75,A501
Konferencija,-76,A501
Priva,-52,A501
TP-Link_27F9,-53,A501
eduroam,-63,A501
Novinari,-63,A501
SDZ,-63,A501
fesb-mobile,-64,A501
Vijecnici,-64,A501
predavaonice,-64,A501
Konferencija,-65,A501
Konferencija,-72,A501
Priva,-50,A501
TP-Link_27F9,-52,A501
